"sistema";"fase";"codigo";"ruta";"ambito";"titulo";"encaje_modelo";"premisa";"audiencia";"senal_entrada";"oferta";"canales";"embudo";"metrica_norte";"regla_decision";"activos";"cualificacion";"evidencia";"limites"
"Reformas integrales";"Validar";"C";"Crear demanda";"Mercado → interés";"Caso real, proceso y confianza";"86";"Mostrar cómo se planifica y ejecuta una obra para madurar al propietario antes de pedir visita.";"Mercado relevante que reconoce parte del problema, pero aún no ha decidido actuar o comparar proveedores.";"Interacción con contenido útil, prueba autorizada o explicación del proceso.";"Educación y prueba que conducen a una conversación cualificada sobre un piloto por tipología de obra con filtro económico y seguimiento.";"Meta Ads | vídeo corto propuesto | contenido | remarketing";"Problema reconocible → Contenido o caso → Interacción de calidad → Remarketing por objeción → Conversación cualificada";"Conversaciones cualificadas asistidas por contenido, no clics ni reproducciones aisladas.";"Mantener si incrementa conversación válida o reduce fricción sin degradar la economía de la ruta de intención.";"Obras propias autorizadas, diario de proyecto, materiales, equipo, plazo contextualizado y reseñas verificables. | Matriz de objeciones | Secuencia de remarketing | Prueba y permisos documentados";"La pieza corresponde a un subsegmento prioritario. | La acción final exige los mismos filtros que la ruta de intención. | La frecuencia y la exclusión se revisan por audiencia.";"Patrones creativos clasificados como copiar, adaptar, probar o descartar. | Portfolio propio, fecha real de presupuesto, causa de pérdida y margen por obra.";"No usar obras ajenas ni prometer precio o plazo sin alcance; el presupuesto mínimo debe ser real. | No convertir una hipótesis creativa en un caso o testimonio ficticio."
"Reformas integrales";"Validar";"D";"Expandir la cuenta";"Resultado → crecimiento";"Escalar tipología × zona con seguimiento";"76";"Crecer donde visita, presupuesto, seguimiento, obra y margen sean medibles durante un ciclo largo.";"Cuenta activa con capacidad, disciplina de datos y una primera combinación ya validada.";"Existe señal estable de proyecto cualificado, visita, presupuesto, obra ganada y margen y la operación cumple el SLA.";"Revisión de crecimiento basada en contribución, saturación, capacidad y aprendizaje transferible.";"Revisión mensual | experimentos | nueva zona | nuevo subsegmento";"Resultado offline → Cohorte por origen → Cuello de botella → Experimento limitado → Escala o rollback";"Contribución incremental con SLA y calidad estables.";"Escalar una combinación cada vez; pausar si empeoran margen, calidad, capacidad o trazabilidad.";"Dashboard de resultado final | Informe win/loss | Backlog de experimentos | Plan mutuo de expansión";"La primera ruta deja contribución defendible. | La empresa mantiene capacidad y velocidad de respuesta. | Existe una sola variable de expansión y un rollback claro.";"Portfolio propio, fecha real de presupuesto, causa de pérdida y margen por obra. | Comparación antes/después con ventana, fuente y limitaciones visibles.";"No usar obras ajenas ni prometer precio o plazo sin alcance; el presupuesto mínimo debe ser real. | No abrir una segunda vía para ocultar fallos del primer funnel."
"Clínicas dentales";"Validar";"A";"Conseguir la cuenta";"RedVitalia → empresa";"Cuenta fundadora: un piloto por tratamiento optimizado a plan aceptado";"72";"La primera venta es el sistema de RedVitalia a la empresa. Se entra con un diagnóstico específico, no con una presentación genérica de agencia.";"Clínicas con implantes, rehabilitación u ortodoncia, coordinador, financiación y capacidad de primeras visitas.";"Consiguen formularios, pero recepción, no-show y seguimiento del plan rompen la economía del tratamiento.";"Revisión de huecos, coordinador, llamada, financiación, show, presentación del plan y registro de ingreso.";"Teléfono | Email | LinkedIn | Referencia";"Lista con señal verificable → Apertura sectorial → Diagnóstico con decisor → Economía y capacidad → Piloto condicionado";"Diagnósticos B2B celebrados con decisor, datos y siguiente decisión.";"Avanzar solo cuando dolor, capacidad, economía, medición y decisor alcanzan el umbral del closer.";"Lista de cuentas con fuente | Guion por señal | Diagnóstico y scorecard | Plan de piloto con dependencias";"Existe una prioridad concreta y no solo curiosidad. | Hay capacidad operativa y responsable comercial. | Acepta medir primera visita asistida, plan presentado, plan aceptado e ingreso.";"Resultado desde lead hasta tratamiento aceptado, con causa de no-show y de no aceptación. | Notas que separan dato, hipótesis y pendiente de confirmar.";"No prometer resultados clínicos, diagnosticar ni explotar atributos personales; revisión sanitaria obligatoria. | No inventar clientes, resultados, precios ni personalización."
"Clínicas dentales";"Validar";"B";"Capturar intención";"Empresa → oportunidad";"Intención clínica por tratamiento";"79";"Implantes, rehabilitación u ortodoncia con campañas, landings y expectativas separadas.";"Personas o empresas que ya expresan el problema y buscan resolverlo ahora.";"Señal de entrada: Tratamiento, situación, zona, plazo, financiación, disponibilidad y aceptación de primera visita.";"Captación y cualificación hasta primera visita asistida, plan presentado, plan aceptado e ingreso.";"Google Search | Meta educación";"Intención específica → Anuncio por problema → Landing y filtro → Respuesta dentro del SLA → Resultado offline";"primera visita asistida, plan presentado, plan aceptado e ingreso";"Escalar únicamente cuando la conversión final y la capacidad sostienen la economía; el volumen de formularios no decide.";"Mapa de términos y negativas | Landing específica | Formulario de cualificación | Importación del resultado final";"Tratamiento, situación, zona, plazo, financiación, disponibilidad y aceptación de primera visita. | Zona, capacidad y exclusiones aplicadas antes de optimizar. | Consentimiento y dato de contacto válidos.";"Resultado desde lead hasta tratamiento aceptado, con causa de no-show y de no aceptación. | Consultas, llamadas y resultados trazados por campaña y término.";"No prometer resultados clínicos, diagnosticar ni explotar atributos personales; revisión sanitaria obligatoria. | No escalar por CPL si cae la calidad o la contribución."
"Clínicas dentales";"Validar";"C";"Crear demanda";"Mercado → interés";"Educación clínica que reduce fricción";"77";"Explicar valoración, opciones y proceso con autoridad profesional antes de pedir una cita.";"Mercado relevante que reconoce parte del problema, pero aún no ha decidido actuar o comparar proveedores.";"Interacción con contenido útil, prueba autorizada o explicación del proceso.";"Educación y prueba que conducen a una conversación cualificada sobre un piloto por tratamiento optimizado a plan aceptado.";"Meta Ads | vídeo corto propuesto | contenido | remarketing";"Problema reconocible → Contenido o caso → Interacción de calidad → Remarketing por objeción → Conversación cualificada";"Conversaciones cualificadas asistidas por contenido, no clics ni reproducciones aisladas.";"Mantener si incrementa conversación válida o reduce fricción sin degradar la economía de la ruta de intención.";"Profesional, clínica, proceso, financiación y casos autorizados sin promesas ni diagnósticos publicitarios. | Matriz de objeciones | Secuencia de remarketing | Prueba y permisos documentados";"La pieza corresponde a un subsegmento prioritario. | La acción final exige los mismos filtros que la ruta de intención. | La frecuencia y la exclusión se revisan por audiencia.";"Patrones creativos clasificados como copiar, adaptar, probar o descartar. | Resultado desde lead hasta tratamiento aceptado, con causa de no-show y de no aceptación.";"No prometer resultados clínicos, diagnosticar ni explotar atributos personales; revisión sanitaria obligatoria. | No convertir una hipótesis creativa en un caso o testimonio ficticio."
"Clínicas dentales";"Validar";"D";"Expandir la cuenta";"Resultado → crecimiento";"Tratamiento rentable y reactivación";"82";"Estabilizar un tratamiento, recuperar planes abiertos y después abrir una segunda línea.";"Cuenta activa con capacidad, disciplina de datos y una primera combinación ya validada.";"Existe señal estable de primera visita asistida, plan presentado, plan aceptado e ingreso y la operación cumple el SLA.";"Revisión de crecimiento basada en contribución, saturación, capacidad y aprendizaje transferible.";"Revisión mensual | experimentos | nueva zona | nuevo subsegmento";"Resultado offline → Cohorte por origen → Cuello de botella → Experimento limitado → Escala o rollback";"Contribución incremental con SLA y calidad estables.";"Escalar una combinación cada vez; pausar si empeoran margen, calidad, capacidad o trazabilidad.";"Dashboard de resultado final | Informe win/loss | Backlog de experimentos | Plan mutuo de expansión";"La primera ruta deja contribución defendible. | La empresa mantiene capacidad y velocidad de respuesta. | Existe una sola variable de expansión y un rollback claro.";"Resultado desde lead hasta tratamiento aceptado, con causa de no-show y de no aceptación. | Comparación antes/después con ventana, fuente y limitaciones visibles.";"No prometer resultados clínicos, diagnosticar ni explotar atributos personales; revisión sanitaria obligatoria. | No abrir una segunda vía para ocultar fallos del primer funnel."
"Captación inmobiliaria";"Después";"A";"Conseguir la cuenta";"RedVitalia → empresa";"Cuenta fundadora: un sistema de captación de propietarios por motivo y horizonte";"65";"La primera venta es el sistema de RedVitalia a la empresa. Se entra con un diagnóstico específico, no con una presentación genérica de agencia.";"Agencias con zona defendible, propuesta para propietarios y proceso de valoración, nutrición y exclusiva.";"Compran leads o hacen marca general, pero mezclan propietario, comprador y curiosidad de valoración.";"Revisión de zona, titularidad, valoración, seguimiento, horizonte, exclusiva y comisión registrada.";"Teléfono | Email | LinkedIn | Referencia";"Lista con señal verificable → Apertura sectorial → Diagnóstico con decisor → Economía y capacidad → Piloto condicionado";"Diagnósticos B2B celebrados con decisor, datos y siguiente decisión.";"Avanzar solo cuando dolor, capacidad, economía, medición y decisor alcanzan el umbral del closer.";"Lista de cuentas con fuente | Guion por señal | Diagnóstico y scorecard | Plan de piloto con dependencias";"Existe una prioridad concreta y no solo curiosidad. | Hay capacidad operativa y responsable comercial. | Acepta medir propietario válido, valoración asistida, propuesta y exclusiva.";"Titularidad validada, horizonte, valoración, exclusiva y comisión devueltas por origen. | Notas que separan dato, hipótesis y pendiente de confirmar.";"No garantizar valoración, precio de venta, plazo ni exclusiva; separar propietario, comprador y alquiler. | No inventar clientes, resultados, precios ni personalización."
"Captación inmobiliaria";"Después";"B";"Capturar intención";"Empresa → oportunidad";"Propietario por motivo y plazo";"68";"Venta urgente, herencia o divorcio separadas de la valoración exploratoria y del comprador.";"Personas o empresas que ya expresan el problema y buscan resolverlo ahora.";"Señal de entrada: Titularidad, inmueble, zona, motivo, plazo, ocupación, cargas, expectativa y decisores.";"Captación y cualificación hasta propietario válido, valoración asistida, propuesta y exclusiva.";"Google Search | Meta hiperlocal";"Intención específica → Anuncio por problema → Landing y filtro → Respuesta dentro del SLA → Resultado offline";"propietario válido, valoración asistida, propuesta y exclusiva";"Escalar únicamente cuando la conversión final y la capacidad sostienen la economía; el volumen de formularios no decide.";"Mapa de términos y negativas | Landing específica | Formulario de cualificación | Importación del resultado final";"Titularidad, inmueble, zona, motivo, plazo, ocupación, cargas, expectativa y decisores. | Zona, capacidad y exclusiones aplicadas antes de optimizar. | Consentimiento y dato de contacto válidos.";"Titularidad validada, horizonte, valoración, exclusiva y comisión devueltas por origen. | Consultas, llamadas y resultados trazados por campaña y término.";"No garantizar valoración, precio de venta, plazo ni exclusiva; separar propietario, comprador y alquiler. | No escalar por CPL si cae la calidad o la contribución."
"Captación inmobiliaria";"Después";"C";"Crear demanda";"Mercado → interés";"Autoridad hiperlocal y maduración";"80";"Construir preferencia antes de vender con información real de zona, proceso y preparación del inmueble.";"Mercado relevante que reconoce parte del problema, pero aún no ha decidido actuar o comparar proveedores.";"Interacción con contenido útil, prueba autorizada o explicación del proceso.";"Educación y prueba que conducen a una conversación cualificada sobre un sistema de captación de propietarios por motivo y horizonte.";"Meta Ads | vídeo corto propuesto | contenido | remarketing";"Problema reconocible → Contenido o caso → Interacción de calidad → Remarketing por objeción → Conversación cualificada";"Conversaciones cualificadas asistidas por contenido, no clics ni reproducciones aisladas.";"Mantener si incrementa conversación válida o reduce fricción sin degradar la economía de la ruta de intención.";"Guías locales, proceso de valoración, preguntas de propietario y prueba verificable de la agencia. | Matriz de objeciones | Secuencia de remarketing | Prueba y permisos documentados";"La pieza corresponde a un subsegmento prioritario. | La acción final exige los mismos filtros que la ruta de intención. | La frecuencia y la exclusión se revisan por audiencia.";"Patrones creativos clasificados como copiar, adaptar, probar o descartar. | Titularidad validada, horizonte, valoración, exclusiva y comisión devueltas por origen.";"No garantizar valoración, precio de venta, plazo ni exclusiva; separar propietario, comprador y alquiler. | No convertir una hipótesis creativa en un caso o testimonio ficticio."
"Captación inmobiliaria";"Después";"D";"Expandir la cuenta";"Resultado → crecimiento";"Nutrición 30/90/180 y expansión local";"80";"Convertir plazos largos en pipeline y abrir otra zona solo con citas, valoraciones y exclusivas medibles.";"Cuenta activa con capacidad, disciplina de datos y una primera combinación ya validada.";"Existe señal estable de propietario válido, valoración asistida, propuesta y exclusiva y la operación cumple el SLA.";"Revisión de crecimiento basada en contribución, saturación, capacidad y aprendizaje transferible.";"Revisión mensual | experimentos | nueva zona | nuevo subsegmento";"Resultado offline → Cohorte por origen → Cuello de botella → Experimento limitado → Escala o rollback";"Contribución incremental con SLA y calidad estables.";"Escalar una combinación cada vez; pausar si empeoran margen, calidad, capacidad o trazabilidad.";"Dashboard de resultado final | Informe win/loss | Backlog de experimentos | Plan mutuo de expansión";"La primera ruta deja contribución defendible. | La empresa mantiene capacidad y velocidad de respuesta. | Existe una sola variable de expansión y un rollback claro.";"Titularidad validada, horizonte, valoración, exclusiva y comisión devueltas por origen. | Comparación antes/después con ventana, fuente y limitaciones visibles.";"No garantizar valoración, precio de venta, plazo ni exclusiva; separar propietario, comprador y alquiler. | No abrir una segunda vía para ocultar fallos del primer funnel."
"Centros auditivos y ortopedia";"Después";"A";"Conseguir la cuenta";"RedVitalia → empresa";"Cuenta fundadora: un piloto de ciudad y producto con cita asistida como señal";"72";"La primera venta es el sistema de RedVitalia a la empresa. Se entra con un diagnóstico específico, no con una presentación genérica de agencia.";"Centros auditivos con agenda, profesional, financiación y proceso que incorpora al familiar decisor.";"La demanda local es incierta o se mezcla audición con ortopedia y productos de economía muy distinta.";"Revisión de volumen local, producto, ticket, teléfono, agenda, cuidador y venta registrada.";"Teléfono | Email | LinkedIn | Referencia";"Lista con señal verificable → Apertura sectorial → Diagnóstico con decisor → Economía y capacidad → Piloto condicionado";"Diagnósticos B2B celebrados con decisor, datos y siguiente decisión.";"Avanzar solo cuando dolor, capacidad, economía, medición y decisor alcanzan el umbral del closer.";"Lista de cuentas con fuente | Guion por señal | Diagnóstico y scorecard | Plan de piloto con dependencias";"Existe una prioridad concreta y no solo curiosidad. | Hay capacidad operativa y responsable comercial. | Acepta medir necesidad validada, cita asistida, prueba o presupuesto y venta.";"Agenda, asistencia, decisión familiar, producto vendido y valor por ciudad. | Notas que separan dato, hipótesis y pendiente de confirmar.";"No diagnosticar ni prometer mejora médica; audición y ortopedia no comparten funnel. | No inventar clientes, resultados, precios ni personalización."
"Centros auditivos y ortopedia";"Después";"B";"Capturar intención";"Empresa → oportunidad";"Ciudad única y necesidad concreta";"73";"Prueba auditiva y audífonos separados de movilidad, camas y productos pequeños.";"Personas o empresas que ya expresan el problema y buscan resolverlo ahora.";"Señal de entrada: Necesidad, usuario, zona, producto, acompañante, financiación y disponibilidad de cita o visita.";"Captación y cualificación hasta necesidad validada, cita asistida, prueba o presupuesto y venta.";"Google Search | llamada visible";"Intención específica → Anuncio por problema → Landing y filtro → Respuesta dentro del SLA → Resultado offline";"necesidad validada, cita asistida, prueba o presupuesto y venta";"Escalar únicamente cuando la conversión final y la capacidad sostienen la economía; el volumen de formularios no decide.";"Mapa de términos y negativas | Landing específica | Formulario de cualificación | Importación del resultado final";"Necesidad, usuario, zona, producto, acompañante, financiación y disponibilidad de cita o visita. | Zona, capacidad y exclusiones aplicadas antes de optimizar. | Consentimiento y dato de contacto válidos.";"Agenda, asistencia, decisión familiar, producto vendido y valor por ciudad. | Consultas, llamadas y resultados trazados por campaña y término.";"No diagnosticar ni prometer mejora médica; audición y ortopedia no comparten funnel. | No escalar por CPL si cae la calidad o la contribución."
"Centros auditivos y ortopedia";"Después";"C";"Crear demanda";"Mercado → interés";"Mensaje al cuidador y a la familia";"70";"Explicar acompañamiento, prueba y adaptación al decisor que ayuda al usuario a actuar.";"Mercado relevante que reconoce parte del problema, pero aún no ha decidido actuar o comparar proveedores.";"Interacción con contenido útil, prueba autorizada o explicación del proceso.";"Educación y prueba que conducen a una conversación cualificada sobre un piloto de ciudad y producto con cita asistida como señal.";"Meta Ads | vídeo corto propuesto | contenido | remarketing";"Problema reconocible → Contenido o caso → Interacción de calidad → Remarketing por objeción → Conversación cualificada";"Conversaciones cualificadas asistidas por contenido, no clics ni reproducciones aisladas.";"Mantener si incrementa conversación válida o reduce fricción sin degradar la economía de la ruta de intención.";"Profesional real, proceso de prueba, adaptación, financiación y piezas accesibles para usuario y cuidador. | Matriz de objeciones | Secuencia de remarketing | Prueba y permisos documentados";"La pieza corresponde a un subsegmento prioritario. | La acción final exige los mismos filtros que la ruta de intención. | La frecuencia y la exclusión se revisan por audiencia.";"Patrones creativos clasificados como copiar, adaptar, probar o descartar. | Agenda, asistencia, decisión familiar, producto vendido y valor por ciudad.";"No diagnosticar ni prometer mejora médica; audición y ortopedia no comparten funnel. | No convertir una hipótesis creativa en un caso o testimonio ficticio."
"Centros auditivos y ortopedia";"Después";"D";"Expandir la cuenta";"Resultado → crecimiento";"Validar ciudad antes de replicar";"67";"Abrir producto o ciudad solo cuando exista volumen suficiente, cita asistida y margen comprobado.";"Cuenta activa con capacidad, disciplina de datos y una primera combinación ya validada.";"Existe señal estable de necesidad validada, cita asistida, prueba o presupuesto y venta y la operación cumple el SLA.";"Revisión de crecimiento basada en contribución, saturación, capacidad y aprendizaje transferible.";"Revisión mensual | experimentos | nueva zona | nuevo subsegmento";"Resultado offline → Cohorte por origen → Cuello de botella → Experimento limitado → Escala o rollback";"Contribución incremental con SLA y calidad estables.";"Escalar una combinación cada vez; pausar si empeoran margen, calidad, capacidad o trazabilidad.";"Dashboard de resultado final | Informe win/loss | Backlog de experimentos | Plan mutuo de expansión";"La primera ruta deja contribución defendible. | La empresa mantiene capacidad y velocidad de respuesta. | Existe una sola variable de expansión y un rollback claro.";"Agenda, asistencia, decisión familiar, producto vendido y valor por ciudad. | Comparación antes/después con ventana, fuente y limitaciones visibles.";"No diagnosticar ni prometer mejora médica; audición y ortopedia no comparten funnel. | No abrir una segunda vía para ocultar fallos del primer funnel."
"Mudanzas, contenedores y guardamuebles";"Después";"A";"Conseguir la cuenta";"RedVitalia → empresa";"Cuenta fundadora: un sistema por servicio, fecha y zona conectado a disponibilidad";"82";"La primera venta es el sistema de RedVitalia a la empresa. Se entra con un diagnóstico específico, no con una presentación genérica de agencia.";"Empresas de mudanza, contenedor o guardamuebles con mínimos, zonas, capacidad y presupuesto rápido.";"Tienen volumen potencial, pero pequeños portes, fechas imposibles y capacidad cambiante destruyen el margen.";"Revisión de mínimos, radio, calendario, plantilla de presupuesto, tiempo de respuesta y valor de reserva.";"Teléfono | Email | LinkedIn | Referencia";"Lista con señal verificable → Apertura sectorial → Diagnóstico con decisor → Economía y capacidad → Piloto condicionado";"Diagnósticos B2B celebrados con decisor, datos y siguiente decisión.";"Avanzar solo cuando dolor, capacidad, economía, medición y decisor alcanzan el umbral del closer.";"Lista de cuentas con fuente | Guion por señal | Diagnóstico y scorecard | Plan de piloto con dependencias";"Existe una prioridad concreta y no solo curiosidad. | Hay capacidad operativa y responsable comercial. | Acepta medir solicitud válida, presupuesto, reserva pagada y valor del servicio.";"Tiempo a presupuesto, reserva, trabajo completado y valor por ruta y servicio. | Notas que separan dato, hipótesis y pendiente de confirmar.";"No prometer fecha, cobertura, precio o disponibilidad si el calendario operativo no está actualizado. | No inventar clientes, resultados, precios ni personalización."
"Mudanzas, contenedores y guardamuebles";"Después";"B";"Capturar intención";"Empresa → oportunidad";"Fecha, ruta y servicio como intención";"90";"Mudanza completa, contenedor y guardamuebles separados de empleo, alquiler o pequeño porte.";"Personas o empresas que ya expresan el problema y buscan resolverlo ahora.";"Señal de entrada: Origen, destino, fecha, volumen, plantas, accesos, permisos, duración y mínimo económico.";"Captación y cualificación hasta solicitud válida, presupuesto, reserva pagada y valor del servicio.";"Google Search | campañas por fecha";"Intención específica → Anuncio por problema → Landing y filtro → Respuesta dentro del SLA → Resultado offline";"solicitud válida, presupuesto, reserva pagada y valor del servicio";"Escalar únicamente cuando la conversión final y la capacidad sostienen la economía; el volumen de formularios no decide.";"Mapa de términos y negativas | Landing específica | Formulario de cualificación | Importación del resultado final";"Origen, destino, fecha, volumen, plantas, accesos, permisos, duración y mínimo económico. | Zona, capacidad y exclusiones aplicadas antes de optimizar. | Consentimiento y dato de contacto válidos.";"Tiempo a presupuesto, reserva, trabajo completado y valor por ruta y servicio. | Consultas, llamadas y resultados trazados por campaña y término.";"No prometer fecha, cobertura, precio o disponibilidad si el calendario operativo no está actualizado. | No escalar por CPL si cae la calidad o la contribución."
"Mudanzas, contenedores y guardamuebles";"Después";"C";"Crear demanda";"Mercado → interés";"Confianza operativa antes del presupuesto";"79";"Reducir incertidumbre mostrando preparación, cobertura, seguro, acceso y qué necesita la empresa para presupuestar.";"Mercado relevante que reconoce parte del problema, pero aún no ha decidido actuar o comparar proveedores.";"Interacción con contenido útil, prueba autorizada o explicación del proceso.";"Educación y prueba que conducen a una conversación cualificada sobre un sistema por servicio, fecha y zona conectado a disponibilidad.";"Meta Ads | vídeo corto propuesto | contenido | remarketing";"Problema reconocible → Contenido o caso → Interacción de calidad → Remarketing por objeción → Conversación cualificada";"Conversaciones cualificadas asistidas por contenido, no clics ni reproducciones aisladas.";"Mantener si incrementa conversación válida o reduce fricción sin degradar la economía de la ruta de intención.";"Checklist de mudanza, proceso de presupuesto, equipo propio verificable y explicación de incidencias comunes. | Matriz de objeciones | Secuencia de remarketing | Prueba y permisos documentados";"La pieza corresponde a un subsegmento prioritario. | La acción final exige los mismos filtros que la ruta de intención. | La frecuencia y la exclusión se revisan por audiencia.";"Patrones creativos clasificados como copiar, adaptar, probar o descartar. | Tiempo a presupuesto, reserva, trabajo completado y valor por ruta y servicio.";"No prometer fecha, cobertura, precio o disponibilidad si el calendario operativo no está actualizado. | No convertir una hipótesis creativa en un caso o testimonio ficticio."
"Mudanzas, contenedores y guardamuebles";"Después";"D";"Expandir la cuenta";"Resultado → crecimiento";"Escalar servicio × zona × capacidad";"74";"Aumentar cobertura únicamente donde respuesta, presupuesto, reserva y margen siguen dentro del estándar.";"Cuenta activa con capacidad, disciplina de datos y una primera combinación ya validada.";"Existe señal estable de solicitud válida, presupuesto, reserva pagada y valor del servicio y la operación cumple el SLA.";"Revisión de crecimiento basada en contribución, saturación, capacidad y aprendizaje transferible.";"Revisión mensual | experimentos | nueva zona | nuevo subsegmento";"Resultado offline → Cohorte por origen → Cuello de botella → Experimento limitado → Escala o rollback";"Contribución incremental con SLA y calidad estables.";"Escalar una combinación cada vez; pausar si empeoran margen, calidad, capacidad o trazabilidad.";"Dashboard de resultado final | Informe win/loss | Backlog de experimentos | Plan mutuo de expansión";"La primera ruta deja contribución defendible. | La empresa mantiene capacidad y velocidad de respuesta. | Existe una sola variable de expansión y un rollback claro.";"Tiempo a presupuesto, reserva, trabajo completado y valor por ruta y servicio. | Comparación antes/después con ventana, fuente y limitaciones visibles.";"No prometer fecha, cobertura, precio o disponibilidad si el calendario operativo no está actualizado. | No abrir una segunda vía para ocultar fallos del primer funnel."
